url,original_tag,normalized_tag,semantic_role,element_type,is_interactive,is_visible,has_text,inner_text,selector,attributes
https://dev.to/,nav,nav,navigation,navigation,False,True,True,"Home
DEV++
Podcasts
Videos
Tags
DEV Help
Forem Shop
Advertise on DEV
DEV Challenges
DEV Showcase
About
Contact
Free Postgres Database
Guides
Software comparisons",div#sidebar-wrapper-left > aside > nav,"{'class': 'mb-4 mt-4', 'data-testid': 'main-nav', 'aria-label': 'DEV Community'}"
https://dev.to/,nav,nav,navigation,navigation,False,True,True,"Other
Code of Conduct
Privacy Policy
Terms of use",div#sidebar-wrapper-left > aside > nav:nth-of-type(2),"{'class': 'mb-4', 'data-testid': 'other-nav', 'aria-labelledby': 'other-nav-heading-sidebar'}"
https://dev.to/,nav,nav,navigation,navigation,False,True,True,"Popular Tags
#webdev
#javascript
#programming
#beginners
#tutorial
#ai
#react
#python
#devops
#productivity
#aws
#discuss
#career
#css
#learning
#opensource
#typescript
#node
#java
#news
#cloud
#database
#security
#machinelearning
#linux
#php
#testing
#api
#softwaredevelopment
#android",div#sidebar-wrapper-left > aside > nav:nth-of-type(3),"{'class': 'mb-6', 'aria-label': 'Secondary sidebar nav'}"
https://dev.to/,nav,nav,navigation,navigation,False,True,True,"Relevant
Latest
Top",main#main-content > header > nav,"{'class': '-mx-3 m:mx-0 s:flex items-center justify-between', 'aria-label': 'View posts by'}"
https://dev.to/,header,header,navigation,navigation,False,True,True,"Skip to content
Powered by  Algolia
Log in
Create account",header#topbar,"{'id': 'topbar', 'class': 'crayons-header topbar print-hidden'}"
https://dev.to/,header,header,navigation,navigation,False,False,True,"DEV Community

      
        Close",html > body > div:nth-of-type(4) > div > header,{'class': 'hamburger__content__header'}
https://dev.to/,header,header,navigation,navigation,False,True,True,"Posts
Relevant
Latest
Top",main#main-content > header,{'class': 'p-2 px-3 m:p-0 m:px-0 m:mb-2 fs-l'}
https://dev.to/,header,header,navigation,navigation,False,True,True,"#discuss
Discussion threads targeting the whole community",aside#sidebar-additional > section > header,{'class': 'crayons-card__header'}
https://dev.to/,header,header,navigation,navigation,False,True,True,"#watercooler
Light, and off-topic conversation.",aside#sidebar-additional > section:nth-of-type(2) > header,{'class': 'crayons-card__header'}
https://dev.to/,header,header,navigation,navigation,False,True,True,trending guides/resources,aside#sidebar-additional > section:nth-of-type(3) > header,{}
https://dev.to/,header,header,navigation,navigation,False,True,True,recently queried,aside#sidebar-additional > section:nth-of-type(4) > header,{}
https://dev.to/,footer,footer,navigation,navigation,False,True,True,"DEV Community A constructive and inclusive social network for software developers. With you every step of your journey.

Built on Forem — the open source software that powers DEV and other inclusive communities.

Made with love and Ruby on Rails. DEV Community © 2016 - 2025.",div#sidebar-wrapper-left > aside > footer,{'class': 'mt-6 fs-s sidebar-footer'}
https://dev.to/,footer,footer,navigation,navigation,False,False,True,"Thank you to our Diamond Sponsor Neon for supporting our community.

  


    
      DEV Community — A constructive and inclusive social network for software developers. With you every step of your journey.
    

    
        
    
      Home
    
    
  
  
    
      DEV++
    
    
  
  
    
      Podcasts
    
    
  
  
    
      Videos
    
    
  
  
    
      Tags
    
    
  
  
    
      DEV Help
    
    
  
  
    
      Forem Shop
    
    
  
  
    
      Advertise on DEV
    
    
  
  
    
      DEV Challenges
    
    
  
  
    
      DEV Showcase
    
    
  
  
    
      About
    
    
  
  
    
      Contact
    
    
  
  
    
      Free Postgres Database
    
    
  
  
    
      Guides
    
    
  
  
    
      Software comparisons
    
    
  

    

    
        
    
      Code of Conduct
    
    
  
  
    
      Privacy Policy
    
    
  
  
    
      Terms of use
    
    
  

    

    
      Built on Forem — the open source software that powers DEV and other inclusive communities.
      Made with love and Ruby on Rails. DEV Community © 2016 - 2025.",footer#footer,"{'id': 'footer', 'class': 'crayons-footer print-hidden'}"
